None,ничего
int,цел
float,дробь
str,стр
bool,бул
True,да
False,нет
if,если
elif,еслиначе
else,иначе
while,пока
break,прервать
continue,продолжить
for,для
return,воз
print,печать
input,ввод
match,соп
case,случай
try,поп
except,кроме
raise,выб
class,класс
self,себя
def,функ
 in, в
range,диапазон
 not , не
 and , и
 or , или
